ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_DUMMY000018,zimbabwe,35.887425801678766,Don't know or N/A,No,No,No,Yes,599.1101443267936,860.9801353002323,3741.6858177773174,3.6572640288007596,Used to have but don't have now,Have now,,No,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,No,No,Yes,Yes,Never had,Never had,Have now,Yes,84.36227506742134,Used to have but don't have now,Never had,Yes,Have now,Have now,Low
ID_DUMMY000019,malawi,43.090604688673174,Don't know or N/A,No,No,Yes,Yes,2568.579158692013,61.672811479006825,1723.7803297926966,1.6762483819054086,Have now,Have now,,Yes,Female,"Yes, sometimes",Yes,Have now,"Yes, sometimes",No,No,Yes,No,Yes,No,No,Have now,Never had,Have now,No,4.426433682543935,Used to have but don't have now,Used to have but don't have now,No,Used to have but don't have now,Never had,Medium
ID_DUMMY000020,lesotho,40.72276251929232,Yes,Yes,No,Don't know or N/A,Don't know or N/A,411055.78942940006,821.7683583334309,3111.266684181044,0.7826543049273488,Used to have but don't have now,Never had,Yes,No,Male,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,No,Yes,No,No,No,No,Have now,Have now,Have now,Yes,58.734331233307564,Have now,Never had,Yes,Have now,Never had,Medium
ID_DUMMY000021,eswatini,53.71387377418024,Don't know or N/A,Yes,Yes,Yes,Yes,13411.47637606679,3592.2999127036446,351.81398399934653,2.29261399632152,Never had,Used to have but don't have now,Yes,Yes,Male,"Yes, sometimes",Yes,Used to have but don't have now,"Yes, always",No,Don't know or N/A,No,No,Yes,Yes,Yes,Have now,Never had,Used to have but don't have now,Yes,75.87669967122953,Have now,Used to have but don't have now,No,Have now,Used to have but don't have now,Low
ID_DUMMY000022,zimbabwe,47.04228512560324,Yes,Yes,Yes,Don't know or N/A,No,238210.794448276,248.1902309244638,652.4040553102259,0.208148798971726,Used to have but don't have now,Used to have but don't have now,Yes,Yes,Female,No,No,Used to have but don't have now,"Yes, sometimes",Yes,Don't know or N/A,No,Yes,No,No,Yes,Have now,Have now,Used to have but don't have now,No,70.90715318258901,Used to have but don't have now,Never had,No,Never had,Used to have but don't have now,Medium
ID_DUMMY000023,malawi,21.392038827206406,Don't know or N/A,No,No,No,Don't know or N/A,3419.077133416902,222.86014659555892,4240.626832459669,5.8710626378385955,Used to have but don't have now,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know or N/A,Don't know or N/A,No,No,Yes,No,No,Never had,Have now,Never had,No,46.40824155606449,Have now,Have now,No,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000024,malawi,30.600960491965154,Don't know or N/A,Yes,Yes,Yes,Yes,1565.369171657082,3715.527080360596,197.2445304700075,8.497420363196106,Used to have but don't have now,Have now,No,Yes,Female,No,No,Have now,"Yes, always",Yes,No,Yes,No,Don't know,Yes,No,Used to have but don't have now,Used to have but don't have now,Have now,No,66.62409739193548,Used to have but don't have now,Used to have but don't have now,No,Have now,Used to have but don't have now,Medium
ID_DUMMY000025,malawi,20.71020118526527,No,No,No,No,No,4312.476952875622,1619.4213796552617,7385.55370547228,2.0702325490566196,Never had,Never had,,Yes,Female,"Yes, always",Yes,Never had,"Yes, always",Don't know or N/A,No,No,No,Yes,Yes,No,Never had,Have now,Never had,No,41.90514895351931,Never had,Used to have but don't have now,Yes,Have now,Never had,Low
ID_DUMMY000026,eswatini,46.263298787402775,Don't know or N/A,No,Yes,Don't know or N/A,No,5399.001707423678,1596.7718486028637,3373.16508551677,5.1365534678385245,Never had,Never had,,No,Female,"Yes, sometimes",No,Have now,"Yes, always",Yes,No,No,Yes,Yes,No,No,Never had,Used to have but don't have now,Used to have but don't have now,Yes,10.09679579940586,Never had,Never had,No,Never had,Never had,Medium
ID_DUMMY000027,eswatini,43.516869679584175,Don't know or N/A,No,Yes,Don't know or N/A,No,714.2958012043215,18009.627710981764,4242.462922972574,5.277207410676244,Have now,Have now,No,No,Female,No,Yes,Used to have but don't have now,No,Yes,Yes,Yes,No,Don't know,Yes,Yes,Never had,Never had,Used to have but don't have now,Yes,26.912317135267173,Never had,Never had,No,Have now,Used to have but don't have now,Medium
ID_DUMMY000028,lesotho,28.303819957272143,No,Yes,Yes,No,Don't know or N/A,14388.279168315463,6234.747552435887,412.7210029234176,5.24386907151384,Have now,Used to have but don't have now,No,Yes,Male,"Yes, sometimes",Yes,Have now,"Yes, always",Don't know or N/A,Yes,Yes,No,Yes,Yes,Yes,Never had,Have now,Used to have but don't have now,No,101.90680925930135,Have now,Never had,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000029,lesotho,49.86472191993388,No,No,No,Yes,Don't know or N/A,132400.4028703582,758.9362835620286,465.57579303270654,1.5408007392941558,Never had,Have now,,No,Female,"Yes, always",Yes,Never had,No,Don't know or N/A,Don't know or N/A,Yes,No,Don't know,Yes,Yes,Have now,Used to have but don't have now,Used to have but don't have now,No,29.27875720549003,Have now,Never had,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000030,eswatini,39.07477948703075,No,No,No,No,No,5897.618767123609,1660.7692854877778,8013.8762413045815,7.919126263441999,Used to have but don't have now,Never had,Yes,No,Female,No,No,Have now,No,No,Don't know or N/A,Yes,No,Yes,No,No,Have now,Never had,Have now,Yes,60.316451172623054,Used to have but don't have now,Used to have but don't have now,No,Have now,Never had,Medium
ID_DUMMY000031,zimbabwe,36.82411800114453,Don't know or N/A,No,No,Don't know or N/A,No,687170.9207350624,2803.155488075526,386.4940210548184,1.6478868418313146,Never had,Never had,No,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Don't know or N/A,Don't know or N/A,Yes,Yes,No,Yes,No,Never had,Never had,Never had,No,2.9179159717744607,Never had,Used to have but don't have now,Yes,Have now,Used to have but don't have now,Medium
ID_DUMMY000032,malawi,27.14929002326665,Don't know or N/A,No,No,No,No,7823.950073429211,784.3111542312549,6536.786019729851,0.07788657685972192,Never had,Have now,,Yes,Female,"Yes, always",Yes,Never had,"Yes, sometimes",No,No,No,Yes,No,No,No,Never had,Have now,Used to have but don't have now,No,111.39822751052705,Have now,Have now,No,Have now,Have now,Low
ID_DUMMY000033,zimbabwe,45.67885149488254,Don't know or N/A,Yes,No,Yes,No,2576.899406278733,307.9105820788615,118.30606002315423,9.523633262390398,Never had,Have now,,No,Female,"Yes, sometimes",Yes,Have now,"Yes, always",Yes,Don't know or N/A,No,Yes,No,Yes,No,Never had,Used to have but don't have now,Never had,No,38.03064061875332,Used to have but don't have now,Never had,Yes,Have now,Have now,Medium
ID_DUMMY000034,malawi,42.56912492956245,Don't know or N/A,No,Yes,No,Don't know or N/A,246.78621673935186,1421.9314305573976,3617.618746409086,4.220561682178277,Used to have but don't have now,Have now,No,No,Male,No,Yes,Never had,No,Don't know or N/A,No,Yes,Yes,No,Yes,Yes,Have now,Never had,Used to have but don't have now,No,11.661179252492225,Never had,Never had,No,Never had,Have now,Medium
ID_DUMMY000035,malawi,40.698504621352,No,No,Yes,Yes,Don't know or N/A,303.09897560708237,1875.5946607501974,4961.245750024138,5.970372126508366,Have now,Used to have but don't have now,,Yes,Male,"Yes, always",Yes,Used to have but don't have now,"Yes, sometimes",Don't know or N/A,Don't know or N/A,Yes,No,Don't know,Yes,Yes,Have now,Used to have but don't have now,Have now,No,84.29809007845311,Have now,Used to have but don't have now,Yes,Have now,Have now,Medium
ID_DUMMY000036,zimbabwe,23.46796758451491,Yes,No,No,Don't know or N/A,No,456.8476292859243,2374.525485226908,4558.800007569408,10.089750236839574,Used to have but don't have now,Have now,,No,Female,"Yes, sometimes",Yes,Have now,"Yes, sometimes",Yes,Yes,No,No,Don't know,No,No,Never had,Used to have but don't have now,Have now,No,109.58886630677655,Never had,Used to have but don't have now,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000037,lesotho,46.18057223567257,No,Yes,No,Yes,Don't know or N/A,6619053.761115608,2582.0418148814133,13960.932224206417,6.052753242557585,Never had,Used to have but don't have now,No,Yes,Male,No,Yes,Have now,"Yes, sometimes",Yes,Don't know or N/A,No,Yes,Yes,No,No,Used to have but don't have now,Have now,Never had,Yes,95.49512033233212,Never had,Used to have but don't have now,No,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000038,malawi,36.216769064315855,Yes,No,No,No,Don't know or N/A,13601.541909369442,344.04146166061054,1180.5391358084212,4.3170701330471735,Have now,Never had,No,Yes,Male,"Yes, always",No,Used to have but don't have now,"Yes, sometimes",Yes,No,Yes,No,Don't know,Yes,No,Have now,Used to have but don't have now,Used to have but don't have now,No,4.31307285560905,Used to have but don't have now,Have now,No,Never had,Used to have but don't have now,Medium
ID_DUMMY000039,zimbabwe,67.77590280008211,No,Yes,No,Don't know or N/A,Yes,71.1983479227456,3069.869358869959,99.19736305777407,0.15487531050737272,Used to have but don't have now,Never had,,No,Female,No,No,Never had,"Yes, always",Yes,Yes,No,No,Yes,Yes,Yes,Used to have but don't have now,Never had,Have now,No,4.48178264990573,Have now,Used to have but don't have now,No,Used to have but don't have now,Used to have but don't have now,Low
ID_DUMMY000040,zimbabwe,34.3368176105268,No,Yes,No,Don't know or N/A,No,26315.178841212135,1207.636024224085,259.8382701869407,7.3482397022286765,Have now,Never had,,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,Don't know or N/A,No,No,Yes,No,No,Never had,Never had,Have now,Yes,25.898523299621182,Used to have but don't have now,Never had,Yes,Never had,Have now,Medium
ID_DUMMY000041,zimbabwe,31.23560041939436,Yes,Yes,Yes,Don't know or N/A,Yes,4595.887584112454,1174.2181018716713,559.5424377583072,3.889552213473711,Used to have but don't have now,Never had,Yes,No,Male,No,Yes,Have now,"Yes, always",Yes,Don't know or N/A,No,Yes,Yes,Yes,Yes,Never had,Have now,Never had,No,76.49158817978478,Never had,Never had,No,Never had,Never had,Medium
ID_DUMMY000042,lesotho,15.698288960108712,Don't know or N/A,Yes,Yes,No,No,4328.206922352602,406.3928500982864,8386.512189773131,2.8899171563665065,Have now,Used to have but don't have now,,Yes,Female,No,Yes,Used to have but don't have now,"Yes, always",Don't know or N/A,Don't know or N/A,No,No,Don't know,Yes,Yes,Have now,Have now,Have now,Yes,9.414765761071916,Have now,Used to have but don't have now,No,Never had,Never had,Low
ID_DUMMY000043,malawi,46.05984734776548,Don't know or N/A,Yes,Yes,Yes,No,16839.96801319009,181.19166423205277,990.1909224415009,0.8506037078642708,Used to have but don't have now,Used to have but don't have now,,No,Female,No,No,Have now,No,Don't know or N/A,No,Yes,Yes,Don't know,Yes,No,Have now,Never had,Have now,No,30.02914777975144,Have now,Have now,No,Used to have but don't have now,Never had,Low
ID_DUMMY000044,malawi,61.185450883373164,No,No,No,No,Yes,6700.6741647526105,165.45083289887373,9434.717396695703,15.490517492781532,Used to have but don't have now,Have now,Yes,Yes,Male,"Yes, always",No,Never had,No,Don't know or N/A,No,Yes,Yes,Don't know,No,Yes,Have now,Have now,Used to have but don't have now,No,88.54763000349222,Used to have but don't have now,Never had,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000045,malawi,65.4658743641516,Yes,Yes,Yes,Don't know or N/A,No,23504.108651924824,112.27430750062173,756.2550362603899,2.200070646615562,Never had,Never had,No,No,Male,"Yes, sometimes",Yes,Have now,No,Don't know or N/A,Don't know or N/A,Yes,No,Yes,Yes,No,Used to have but don't have now,Have now,Have now,No,90.9415332557243,Never had,Never had,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_DUMMY000046,lesotho,45.32583313775474,Yes,Yes,Yes,Yes,Don't know or N/A,14034.419216526907,273.0361741997226,1624.3359402496978,3.3825898289861662,Used to have but don't have now,Never had,No,No,Female,"Yes, sometimes",Yes,Have now,"Yes, sometimes",Don't know or N/A,No,Yes,Yes,Yes,Yes,Yes,Used to have but don't have now,Never had,Have now,No,56.81661249366788,Used to have but don't have now,Have now,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000047,lesotho,36.96918218328208,No,Yes,Yes,No,No,245.77921576983118,12690.601459201684,137.79203002887098,5.04057268020456,Never had,Have now,,No,Female,"Yes, always",Yes,Have now,No,Yes,Yes,Yes,No,Yes,Yes,No,Have now,Have now,Never had,Yes,5.436481172645342,Have now,Used to have but don't have now,No,Never had,Never had,Medium
ID_DUMMY000048,lesotho,57.29527946879338,Don't know or N/A,Yes,No,Yes,No,168.72593254761793,6277.616368355964,1841.654276191249,5.374873820274989,Used to have but don't have now,Never had,No,Yes,Female,"Yes, always",No,Used to have but don't have now,"Yes, sometimes",Don't know or N/A,No,No,No,Yes,No,Yes,Have now,Never had,Used to have but don't have now,No,19.552131249771563,Used to have but don't have now,Have now,Yes,Have now,Never had,Medium
ID_DUMMY000049,zimbabwe,42.38871634688164,No,No,Yes,No,No,897.4579309606734,1217.680535187059,903.6440434906374,14.086277276935759,Used to have but don't have now,Have now,Yes,No,Male,"Yes, always",Yes,Used to have but don't have now,No,Yes,No,No,Yes,Yes,Yes,Yes,Have now,Never had,Never had,Yes,69.05690134510547,Used to have but don't have now,Never had,Yes,Used to have but don't have now,Have now,Low
ID_DUMMY000050,lesotho,59.03220179374422,Don't know or N/A,No,No,Don't know or N/A,No,250.72807926591096,26891.084030930833,53.85213020042695,14.190635731164996,Never had,Have now,Yes,No,Female,No,No,Have now,No,Yes,No,Yes,No,No,No,Yes,Never had,Have now,Have now,Yes,46.33231653609291,Used to have but don't have now,Never had,No,Have now,Used to have but don't have now,Medium
ID_DUMMY000051,eswatini,43.37190241282039,No,Yes,No,Don't know or N/A,No,857.9973066314172,802.5680303749913,744.4147339403788,9.317630200486386,Used to have but don't have now,Never had,Yes,No,Male,"Yes, sometimes",Yes,Used to have but don't have now,No,Yes,Yes,Yes,No,No,Yes,No,Have now,Have now,Have now,No,2.792632288299104,Have now,Used to have but don't have now,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000052,malawi,32.92762291666946,Yes,No,Yes,Don't know or N/A,Don't know or N/A,16304.626714645816,1873.4243322004525,519.4459322103959,4.956995882166101,Have now,Have now,No,Yes,Female,"Yes, always",Yes,Have now,"Yes, sometimes",Don't know or N/A,Don't know or N/A,No,Yes,Don't know,Yes,No,Used to have but don't have now,Have now,Used to have but don't have now,No,105.29664162324636,Never had,Used to have but don't have now,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_DUMMY000053,lesotho,49.75434542606752,Don't know or N/A,No,Yes,No,No,10501.33513574482,316.2419178839202,659.6267387207728,6.943781980027124,Never had,Never had,No,No,Male,"Yes, always",Yes,Never had,"Yes, always",No,Yes,Yes,No,Don't know,Yes,No,Never had,Never had,Never had,Yes,96.82016871207168,Used to have but don't have now,Have now,Yes,Have now,Have now,Medium
ID_DUMMY000054,zimbabwe,39.74918087243022,No,No,No,Yes,Don't know or N/A,3769.3383709458817,7453.934879482615,623.3894850526779,2.0836683546537658,Never had,Have now,No,Yes,Female,No,No,Have now,"Yes, sometimes",No,Don't know or N/A,No,Yes,Yes,Yes,No,Never had,Used to have but don't have now,Have now,No,111.69087907242776,Used to have but don't have now,Never had,Yes,Have now,Never had,Low
ID_DUMMY000055,zimbabwe,37.38782556127336,No,No,Yes,No,Yes,26837.45335075838,3782.4397748318443,7819.042196728468,0.5441875940335901,Never had,Have now,No,Yes,Female,"Yes, always",No,Used to have but don't have now,"Yes, sometimes",Yes,No,Yes,No,Yes,Yes,No,Never had,Used to have but don't have now,Used to have but don't have now,No,108.306348801548,Never had,Never had,Yes,Have now,Have now,Medium
ID_DUMMY000056,zimbabwe,55.665745685851945,Don't know or N/A,No,No,Don't know or N/A,Yes,3108.848512090622,3050.0993930094837,1034.3410519210427,2.464942270300856,Never had,Never had,No,Yes,Male,No,No,Never had,"Yes, sometimes",Yes,No,Yes,Yes,Yes,No,No,Never had,Never had,Have now,Yes,1.3005181776358032,Used to have but don't have now,Used to have but don't have now,Yes,Used to have but don't have now,Never had,Medium
ID_DUMMY000057,malawi,43.8899962298613,No,Yes,No,Yes,Don't know or N/A,2297.8148641609605,1268.3776824762253,5277.895120442969,4.996150401952623,Have now,Never had,,Yes,Female,"Yes, always",Yes,Have now,"Yes, sometimes",Yes,Don't know or N/A,No,No,No,Yes,No,Never had,Have now,Never had,Yes,53.81346263739837,Used to have but don't have now,Used to have but don't have now,No,Never had,Never had,Medium
ID_DUMMY000058,malawi,27.927791422003576,Don't know or N/A,No,Yes,Don't know or N/A,No,262.8603163182056,6230.216175209846,7517.529575937416,7.840977081105743,Used to have but don't have now,Have now,,Yes,Male,"Yes, always",No,Never had,"Yes, sometimes",Yes,Yes,Yes,Yes,No,No,No,Used to have but don't have now,Have now,Have now,Yes,94.75417713534647,Used to have but don't have now,Never had,No,Have now,Never had,Medium
ID_DUMMY000059,malawi,39.853038725837024,No,Yes,No,No,No,495.4622954990977,1228.693682553287,534.3809206871956,2.912776374936418,Used to have but don't have now,Have now,No,No,Male,"Yes, sometimes",No,Have now,No,No,Yes,No,Yes,No,Yes,No,Have now,Never had,Never had,No,106.52450193099597,Used to have but don't have now,Have now,No,Have now,Used to have but don't have now,Low
ID_DUMMY000060,lesotho,30.09403363848986,Yes,No,No,No,Yes,1567.4859618258863,2037.3336170018463,655.4328158397175,4.814528398740175,Used to have but don't have now,Have now,,No,Female,No,Yes,Never had,No,Don't know or N/A,No,No,Yes,Yes,Yes,No,Never had,Never had,Never had,Yes,12.134721134734828,Used to have but don't have now,Have now,No,Have now,Used to have but don't have now,Low
ID_DUMMY000061,eswatini,42.93959885330467,Don't know or N/A,Yes,No,No,No,1081.5101703274142,541.0125852811677,2745.4214812636906,0.44326933888903347,Have now,Never had,,Yes,Female,"Yes, sometimes",No,Used to have but don't have now,"Yes, sometimes",Yes,Yes,Yes,Yes,No,No,Yes,Have now,Have now,Used to have but don't have now,No,118.39674942014105,Never had,Used to have but don't have now,No,Used to have but don't have now,Have now,Medium
ID_DUMMY000062,zimbabwe,22.62298790203211,Yes,Yes,Yes,No,Yes,178.58638812761802,373.2818140885539,1231.2622318306214,7.506212702273128,Used to have but don't have now,Have now,Yes,No,Female,No,Yes,Used to have but don't have now,No,No,No,Yes,Yes,No,Yes,Yes,Never had,Never had,Never had,No,67.00850996829661,Never had,Have now,No,Have now,Used to have but don't have now,Medium
ID_DUMMY000063,zimbabwe,50.29191547842423,Don't know or N/A,Yes,Yes,No,No,2164.885906719547,1065.794370761191,297.5097934644053,0.057092947162708345,Used to have but don't have now,Used to have but don't have now,No,No,Female,No,Yes,Never had,"Yes, sometimes",Don't know or N/A,Yes,No,No,Don't know,No,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,Yes,56.23927703929515,Never had,Have now,Yes,Never had,Used to have but don't have now,Low
